code,name,r,g,b
1P0441,ACACIA AIRE,249,221,221
6P1891,WINDSWEPT,228,230,233
7P2491,ALMONDE,243,232,217
4P1878,MINT ESSENCE,232,238,222
1P1901,CUT DIAMOND,235,229,228
8P0195,TAILWIND,232,232,228
6P1900,CRYSTAL QUARTZ,235,228,229
4P2196,COOL PINNACLE,216,238,236
4P1886,BY THE LAKE,229,234,229
3P0746,SUNDAY SUNSHINE,255,239,196
1P0481,BARELY BLUSH,251,221,220
7P1955,DREAMY DAYS,236,232,225
1P0025,FRENCH LACE,243,229,221
8P2665,STEAM BATH,231,235,227
6P1896,EXQUISITE,233,231,229
1P0018,PINK BEIGE,248,226,219
1P0027,EXQUISITE PEARL,249,227,217
8P0209,MOON FLOWER,229,234,230
6P1345,WHISPERING WISTERIA,236,225,232
7P1928,PICTURESQUE,240,234,220
7P1947,HOPE,238,234,222
7P1545,STEAMED MILK,239,235,220
3P1863,BEACHFRONT,244,234,216
7P1569,VILLA FLORENCE,244,234,216
6P0161,EXOTIC FLORA,237,220,236
2P2059,ICE PAVILION,246,236,212
