code,name,r,g,b
00979B,9696,0,151,155
0D8B5A,7565,13,139,90
344845,K098,52,72,69
009396,9704,0,147,150
00938E,9717,0,147,142
0D648A,9663,13,100,138
009883,9728,0,152,131
008D9F,X182,0,141,159
0096B4,7406,0,150,180
009188,9722,0,145,136
0091AE,9680,0,145,174
008B95,9697,0,139,149
2F4E42,9756,47,78,66
334A40,9733,51,74,64
0088A3,9681,0,136,163
00888B,9705,0,136,139
008490,9706,0,132,144
009676,9737,0,150,118
008195,9689,0,129,149
0086B1,X190,0,134,177
0A7369,9730,10,115,105
007D95,9682,0,125,149
007D91,X183,0,125,145
009B6C,X193,0,155,108
007C9F,X191,0,124,159
007B98,9673,0,123,152
007BA1,9674,0,123,161
00847D,9723,0,132,125
00936B,9736,0,147,107
00798A,9707,0,121,138
007791,X147,0,119,145
0077AB,X189,0,119,171
116757,9742,17,103,87
008471,9729,0,132,113
00896C,9738,0,137,108
007A7D,9692,0,122,125
007681,X149,0,118,129
008863,X192,0,136,99
007673,9718,0,118,115
00699D,X188,0,105,157
00796E,9724,0,121,110
007969,9740,0,121,105
008062,9741,0,128,98
006982,X164,0,105,130
006B7C,9708,0,107,124
006E76,9699,0,110,118
006A7E,0161,0,106,126
006F69,7501,0,111,105
007364,7509,0,115,100
00637D,7405,0,99,125
00647A,9690,0,100,122
007F55,X194,0,127,85
