code,name,r,g,b
YY 1066,Watercolour lemons,253,216,122
YY 1067,Banana peel,246,208,123
YY 1068,Old leaf,233,188,82
YY 1069,Cheery charm,242,183,52
YY 1070,Motichoor,231,167,46
YY 1071,Madurai Gopuram,206,155,59
YY 1072,Faraway lights,247,229,178
YY 1073,Candlewax,246,225,157
YY 1074,Hay,252,225,141
YY 1075,Pikachu,254,215,104
YY 1076,Shine on me,236,189,72
YY 1077,Apricot season,226,180,53
YY 1078,Copper tones,193,153,39
YY 1079,Kanjeevaram birds,174,143,62
YY 1080,Yellow hyacinth,245,231,196
YY 1081,Mashed potatoes,249,231,176
YY 1082,Corn yellow,254,229,165
YY 1083,Day lily,251,217,123
YY 1084,Sliced fruit,214,183,101
YY 1085,Ancient treasure,212,169,71
YY 1086,Pumpkin soup,205,158,74
YY 1087,Roast hazelnut,167,136,72
YY 1088,Sun beam,247,237,201
YY 1089,Fairies in the dark,247,230,185
YY 1090,Golden chestnut,232,212,163
YY 1091,Sunwashed,229,208,142
YY 1092,Summer bouquet,221,185,108
YY 1093,Fall in New York,214,172,83
YY 1094,Banana chips,214,176,64
YY 1095,Granola,205,163,63
YY 1096,Ammama's sari,244,235,212
YY 1097,Lace curtains,245,231,201
YY 1098,Lemon accents,251,223,161
YY 1099,Pineapple upside down,245,208,129
YY 1100,Scrambled eggs,239,199,125
YY 1101,Custard bowls,236,189,100
YY 1102,Canary,226,176,83
YY 1103,Golden ochre,197,151,65
YY 1104,Chalk,249,237,211
YY 1105,Banana swirl,247,227,197
YY 1106,A chapel in Aldona,223,200,151
YY 1107,Borrowed from aunty Irene,223,192,133
YY 1108,Latticed window,211,177,113
YY 1109,Tuscany,220,173,84
YY 1110,Rust yellow,207,163,86
YY 1111,Damp sandalwood,188,140,70
YY 1112,Soft eggshell,246,234,209
YY 1113,Parmesan cheese,243,229,197
YY 1114,Lemon seeds,234,214,172
YY 1115,Olive oil,239,209,153
YY 1116,Flaxen yellow,235,194,124
YY 1117,Dust cloud,210,168,97
YY 1118,Tan brown,193,159,102
YY 1119,Golconda gold,189,146,90
YY 1120,Oatmeal,248,240,215
YY 1121,Ecru,236,222,189
YY 1122,Butter cookie,231,213,176
